"Species","Impacted_sector","Type_of_cost_merged","Official_country","Location","Taxon","ScientificName","genus","Population_2019","Surface_area_km2","Density_2019","GDP_2019","Neighbouring_countries","Km_land_borders","Agri_forest_fish_perc_gdp","Industry_perc_gdp","Manufacturing_perc_gdp","Services_perc_gdp","Forest_rents_perc_gdp","Forest_area_perc_landarea","Health_expend_perc_gdp"
"Aedes albopictus","Authorities-Stakeholders","Management","Croatia","Croatia","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",4067500,56590,71.88,60415553039,5,1365,2.9,20,11.9,59.5,0.2,34.6,7
"Aedes albopictus","Authorities-Stakeholders","Management","Greece","Greece","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",10716322,131960,81.21,2.1e+11,4,1228,3.8,13.3,8,69.5,0,30.3,7.8
"Aedes albopictus","Authorities-Stakeholders","Management","Germany","Germany","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",83132799,357580,232.49,3.85e+12,9,3621,0.8,27,19.4,62.3,0,32.7,11.7
"Aedes albopictus","Authorities-Stakeholders","Management","Slovakia","Slovakia","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",5454073,49030,111.24,1.05e+11,5,1524,1.7,29.6,19.7,58.1,0.2,40.1,7
"Aedes albopictus","Authorities-Stakeholders","Management","Romania","Romania","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Aedes albopictus","Authorities-Stakeholders","Management","France","France","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Aedes albopictus","Authorities-Stakeholders","Management","San Marino","San Marino","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",33860,60,564.33,1637931034,1,39,0,NA,30.6,NA,0,16.7,6.4
"Aedes albopictus","Authorities-Stakeholders","Management","Monaco","Monaco","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",38964,2,19482,7188238073,1,4,NA,13,NA,78.4,0,0,1.5
"Aedes albopictus","Diverse","Management","Belgium","Belgium","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Aedes albopictus","Diverse","Management","Italy","Italy","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Aedes albopictus","Diverse","Management","Bulgaria","Bulgaria","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",6975761,111000,62.84,67927179737,5,1808,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Aedes albopictus","Diverse","Management","Malta","Malta","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",502653,320,1570.79,14786156563,0,0,0.5,12.5,7.1,76.4,0,1.4,8.2
"Aedes albopictus","Diverse","Management","Italy","Italy","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Aedes albopictus","Diverse","Management","Portugal","Portugal","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Aedes albopictus","Diverse","Management","Spain","Spain","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Aedes albopictus","Diverse","Management","France","France","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Aedes albopictus","Diverse","Management","Netherlands","Netherlands","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Aedes albopictus","Diverse","Management","Liechtenstein","Liechtenstein","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",38019,160,237.62,6552858739,2,76,0.1,44.2,38.7,52.2,0,41.9,NA
"Aedes albopictus","Diverse","Management","Slovenia","Slovenia","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",2087946,20675,100.99,53742159517,4,1334,2,29,20.7,56.6,0.2,61.6,8.5
"Aedes albopictus","Diverse","Management","Croatia","Croatia","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",4067500,56590,71.88,60415553039,5,1365,2.9,20,11.9,59.5,0.2,34.6,7
"Aedes albopictus","Diverse","Management","Greece","Greece","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",10716322,131960,81.21,2.1e+11,4,1228,3.8,13.3,8,69.5,0,30.3,7.8
"Aedes albopictus","Diverse","Management","Germany","Germany","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",83132799,357580,232.49,3.85e+12,9,3621,0.8,27,19.4,62.3,0,32.7,11.7
"Aedes albopictus","Diverse","Management","Slovakia","Slovakia","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",5454073,49030,111.24,1.05e+11,5,1524,1.7,29.6,19.7,58.1,0.2,40.1,7
"Aedes albopictus","Diverse","Management","Romania","Romania","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Aedes albopictus","Diverse","Management","France","France","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Aedes albopictus","Diverse","Management","San Marino","San Marino","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",33860,60,564.33,1637931034,1,39,0,NA,30.6,NA,0,16.7,6.4
"Aedes albopictus","Diverse","Management","Monaco","Monaco","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",38964,2,19482,7188238073,1,4,NA,13,NA,78.4,0,0,1.5
"Aeromonas salmonicida","Fishery","Damage","Finland","Finland","Aeromonas salmonicida","Aeromonas salmonicida (Lehmann & Neumann, 1896) Griffin et al., 1953","Aeromonas",5520314,338450,16.31,2.69e+11,3,2690,2.3,23.9,14.4,60.2,0.3,73.7,9.2
"Aeromonas salmonicida","Fishery","Damage","Sweden","Sweden","Aeromonas salmonicida","Aeromonas salmonicida (Lehmann & Neumann, 1896) Griffin et al., 1953","Aeromonas",10285453,447430,22.99,5.31e+11,2,2233,1.4,21.9,12.8,65.5,0.2,68.7,10.9
"Ageratina adenophora","Authorities-Stakeholders","Management","Portugal","Portugal","Ageratina adenophora","Ageratina adenophora (Spreng.) R.King & H.Rob.","Ageratina",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Ageratina adenophora","Authorities-Stakeholders","Management","Croatia","Croatia","Ageratina adenophora","Ageratina adenophora (Spreng.) R.King & H.Rob.","Ageratina",4067500,56590,71.88,60415553039,5,1365,2.9,20,11.9,59.5,0.2,34.6,7
"Ageratina adenophora","Authorities-Stakeholders","Management","Greece","Greece","Ageratina adenophora","Ageratina adenophora (Spreng.) R.King & H.Rob.","Ageratina",10716322,131960,81.21,2.1e+11,4,1228,3.8,13.3,8,69.5,0,30.3,7.8
"Ageratina adenophora","Authorities-Stakeholders","Management","Spain","Spain","Ageratina adenophora","Ageratina adenophora (Spreng.) R.King & H.Rob.","Ageratina",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Ageratina adenophora","Authorities-Stakeholders","Management","France","France","Ageratina adenophora","Ageratina adenophora (Spreng.) R.King & H.Rob.","Ageratina",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Ageratina adenophora","Authorities-Stakeholders","Management","France","France","Ageratina adenophora","Ageratina adenophora (Spreng.) R.King & H.Rob.","Ageratina",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Ageratina adenophora","Authorities-Stakeholders","Management","Italy","Italy","Ageratina adenophora","Ageratina adenophora (Spreng.) R.King & H.Rob.","Ageratina",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Ailanthus altissima","Authorities-Stakeholders","Management","Italy","Italy","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Ailanthus altissima","Authorities-Stakeholders","Management","Croatia","Croatia","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",4067500,56590,71.88,60415553039,5,1365,2.9,20,11.9,59.5,0.2,34.6,7
"Ailanthus altissima","Authorities-Stakeholders","Management","Denmark","Denmark","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",5818553,42920,135.57,3.48e+11,1,68,1.2,21.2,13.7,64.7,0,15.7,10
"Ailanthus altissima","Authorities-Stakeholders","Management","Malta","Malta","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",502653,320,1570.79,14786156563,0,0,0.5,12.5,7.1,76.4,0,1.4,8.2
"Ailanthus altissima","Authorities-Stakeholders","Management","Slovakia","Slovakia","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",5454073,49030,111.24,1.05e+11,5,1524,1.7,29.6,19.7,58.1,0.2,40.1,7
"Ailanthus altissima","Authorities-Stakeholders","Management","Greece","Greece","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",10716322,131960,81.21,2.1e+11,4,1228,3.8,13.3,8,69.5,0,30.3,7.8
"Ailanthus altissima","Authorities-Stakeholders","Management","Germany","Germany","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",83132799,357580,232.49,3.85e+12,9,3621,0.8,27,19.4,62.3,0,32.7,11.7
"Ailanthus altissima","Authorities-Stakeholders","Management","Italy","Italy","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Ailanthus altissima","Authorities-Stakeholders","Management","Cyprus","Cyprus","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",1198575,9250,129.58,24564647935,0,0,1.8,12.8,5.5,73,0,18.7,7
"Ailanthus altissima","Authorities-Stakeholders","Management","France","France","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Ailanthus altissima","Authorities-Stakeholders","Management","France","France","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Ailanthus altissima","Authorities-Stakeholders","Management","Poland","Poland","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",37970874,312680,121.44,5.92e+11,7,2788,2.3,28,16.5,57.6,0.2,30.9,6.4
"Ailanthus altissima","Authorities-Stakeholders","Management","Portugal","Portugal","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Ailanthus altissima","Authorities-Stakeholders","Management","Luxembourg","Luxembourg","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",619896,2590,239.34,71104919108,3,359,0.2,11.7,4.9,78.8,0,34.5,5.4
"Ailanthus altissima","Authorities-Stakeholders","Management","Belgium","Belgium","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Ailanthus altissima","Authorities-Stakeholders","Management","Hungary","Hungary","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",9769949,93030,105.02,1.61e+11,7,2171,3.3,24.8,17.5,56.5,0.1,22.5,6.4
"Ailanthus altissima","Authorities-Stakeholders","Management","Slovenia","Slovenia","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",2087946,20675,100.99,53742159517,4,1334,2,29,20.7,56.6,0.2,61.6,8.5
"Ailanthus altissima","Authorities-Stakeholders","Management","Czechia","Czech Republic","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",10669709,78870,135.28,2.46e+11,4,1881,1.9,31.5,22.6,57,0.3,34.7,7.8
"Ailanthus altissima","Authorities-Stakeholders","Management","Ireland","Ireland","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",4941444,70280,70.31,3.89e+11,1,499,0.9,35.9,32,57.3,0,11.3,6.7
"Ailanthus altissima","Authorities-Stakeholders","Management","Austria","Austria","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",8877067,83879.00391,105.83,4.46e+11,8,2562,1.1,25.1,16.5,63.2,0.1,47.2,10.4
"Ailanthus altissima","Authorities-Stakeholders","Management","Bulgaria","Bulgaria","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",6975761,111000,62.84,67927179737,5,1808,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Ailanthus altissima","Authorities-Stakeholders","Management","Sweden","Sweden","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",10285453,447430,22.99,5.31e+11,2,2233,1.4,21.9,12.8,65.5,0.2,68.7,10.9
"Ailanthus altissima","Authorities-Stakeholders","Management","Spain","Spain","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Ailanthus altissima","Authorities-Stakeholders","Management","Romania","Romania","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Ailanthus altissima","Authorities-Stakeholders","Management","Liechtenstein","Liechtenstein","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",38019,160,237.62,6552858739,2,76,0.1,44.2,38.7,52.2,0,41.9,NA
"Ailanthus altissima","Authorities-Stakeholders","Management","Estonia","Estonia","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",1326590,45340,29.26,31386949981,2,633,2.5,23,13.1,61.3,0.9,57,6.7
"Ailanthus altissima","Authorities-Stakeholders","Management","Netherlands","Netherlands","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Ailanthus altissima","Authorities-Stakeholders","Management","Italy","Italy","Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","Ailanthus",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Alopochen aegyptiaca","Agriculture","Damage","Czechia","Czech Republic","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",10669709,78870,135.28,2.46e+11,4,1881,1.9,31.5,22.6,57,0.3,34.7,7.8
"Alopochen aegyptiaca","Agriculture","Damage","Belgium","Belgium","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Alopochen aegyptiaca","Agriculture","Damage","Liechtenstein","Liechtenstein","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",38019,160,237.62,6552858739,2,76,0.1,44.2,38.7,52.2,0,41.9,NA
"Alopochen aegyptiaca","Agriculture","Damage","Italy","Italy","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Alopochen aegyptiaca","Agriculture","Damage","Germany","Germany","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",83132799,357580,232.49,3.85e+12,9,3621,0.8,27,19.4,62.3,0,32.7,11.7
"Alopochen aegyptiaca","Agriculture","Damage","Sweden","Sweden","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",10285453,447430,22.99,5.31e+11,2,2233,1.4,21.9,12.8,65.5,0.2,68.7,10.9
"Alopochen aegyptiaca","Agriculture","Damage","Denmark","Denmark","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",5818553,42920,135.57,3.48e+11,1,68,1.2,21.2,13.7,64.7,0,15.7,10
"Alopochen aegyptiaca","Agriculture","Damage","Romania","Romania","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Alopochen aegyptiaca","Agriculture","Damage","Luxembourg","Luxembourg","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",619896,2590,239.34,71104919108,3,359,0.2,11.7,4.9,78.8,0,34.5,5.4
"Alopochen aegyptiaca","Agriculture","Damage","France","France","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Alopochen aegyptiaca","Agriculture","Damage","Portugal","Portugal","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Alopochen aegyptiaca","Agriculture","Damage","Spain","Spain","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Alopochen aegyptiaca","Agriculture","Damage","Austria","Austria","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",8877067,83879.00391,105.83,4.46e+11,8,2562,1.1,25.1,16.5,63.2,0.1,47.2,10.4
"Alopochen aegyptiaca","Agriculture","Damage","Ireland","Ireland","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",4941444,70280,70.31,3.89e+11,1,499,0.9,35.9,32,57.3,0,11.3,6.7
"Alopochen aegyptiaca","Agriculture","Damage","Poland","Poland","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",37970874,312680,121.44,5.92e+11,7,2788,2.3,28,16.5,57.6,0.2,30.9,6.4
"Alopochen aegyptiaca","Agriculture","Damage","Cyprus","Cyprus","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",1198575,9250,129.58,24564647935,0,0,1.8,12.8,5.5,73,0,18.7,7
"Alopochen aegyptiaca","Agriculture","Damage","Slovenia","Slovenia","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",2087946,20675,100.99,53742159517,4,1334,2,29,20.7,56.6,0.2,61.6,8.5
"Alopochen aegyptiaca","Agriculture","Damage","Italy","Italy","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Alopochen aegyptiaca","Agriculture","Damage","Netherlands","Netherlands","Alopochen aegyptiaca","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Italy","Italy","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Slovenia","Slovenia","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",2087946,20675,100.99,53742159517,4,1334,2,29,20.7,56.6,0.2,61.6,8.5
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Slovakia","Slovakia","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",5454073,49030,111.24,1.05e+11,5,1524,1.7,29.6,19.7,58.1,0.2,40.1,7
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Finland","Finland","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",5520314,338450,16.31,2.69e+11,3,2690,2.3,23.9,14.4,60.2,0.3,73.7,9.2
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Netherlands","Netherlands","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Greece","Greece","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",10716322,131960,81.21,2.1e+11,4,1228,3.8,13.3,8,69.5,0,30.3,7.8
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Austria","Austria","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",8877067,83879.00391,105.83,4.46e+11,8,2562,1.1,25.1,16.5,63.2,0.1,47.2,10.4
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Romania","Romania","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",19356544,238400,81.19,2.5e+11,5,2508,4.1,27,17,59.3,0.2,30.1,5.7
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Denmark","Denmark","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",5818553,42920,135.57,3.48e+11,1,68,1.2,21.2,13.7,64.7,0,15.7,10
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Liechtenstein","Liechtenstein","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",38019,160,237.62,6552858739,2,76,0.1,44.2,38.7,52.2,0,41.9,NA
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Ireland","Ireland","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",4941444,70280,70.31,3.89e+11,1,499,0.9,35.9,32,57.3,0,11.3,6.7
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Luxembourg","Luxembourg","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",619896,2590,239.34,71104919108,3,359,0.2,11.7,4.9,78.8,0,34.5,5.4
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Czechia","Czech Republic","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",10669709,78870,135.28,2.46e+11,4,1881,1.9,31.5,22.6,57,0.3,34.7,7.8
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Spain","Spain","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","France","France","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Sweden","Sweden","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",10285453,447430,22.99,5.31e+11,2,2233,1.4,21.9,12.8,65.5,0.2,68.7,10.9
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Bulgaria","Bulgaria","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",6975761,111000,62.84,67927179737,5,1808,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Poland","Poland","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",37970874,312680,121.44,5.92e+11,7,2788,2.3,28,16.5,57.6,0.2,30.9,6.4
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Croatia","Croatia","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",4067500,56590,71.88,60415553039,5,1365,2.9,20,11.9,59.5,0.2,34.6,7
"Ambrosia artemisiifolia","Authorities-Stakeholders","Management","Hungary","Hungary","Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","Ambrosia",9769949,93030,105.02,1.61e+11,7,2171,3.3,24.8,17.5,56.5,0.1,22.5,6.4
