"Official_country","Cost_ID","InvaCost_ID","Repository","Reference_ID","Reference_title","Authors","Abstract","Publication_year","Language","Type_of_material","Previous_materials","Availability","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Common_name","Environment","Environment_IAS","HabitatVerbatim","Habitat","urbanArea","protectedArea","Island","Geographic_region","State.Province.Administrative_area","Location","Spatial_scale","Period_of_estimation","Time_range","Probable_starting_year","Probable_ending_year","Probable_starting_year_adjusted","Probable_ending_year_adjusted","Occurrence","Raw_cost_estimate_original_currency","Min_Raw_cost_estimate_original_currency","Max_Raw_cost_estimate_original_currency","Raw_cost_estimate_2017_USD_exchange_rate","Raw_cost_estimate_2017_USD_PPP","Cost_estimate_per_year_original_currency","Cost_estimate_per_year_2017_USD_exchange_rate","Cost_estimate_per_year_2017_USD_PPP","Currency","Applicable_year","Type_of_applicable_year","Implementation","Acquisition_method","Impacted_sector","Type_of_cost","Type_of_cost_merged","Management_type","Method_reliability","Method_reliability_refined","Method_reliability_Explanation","Method_reliability_Expert_Name","Overlap","Benefit_value.s.","Details","Initial.contributors_names","Double.checking","cost","cost_bil","cost_mil","Population_2019","Surface_area_km2","Density_2019","GDP_2019","Neighbouring_countries","Km_land_borders","log.cost","Agri_forest_fish_perc_gdp","Industry_perc_gdp","Manufacturing_perc_gdp","Services_perc_gdp","Forest_rents_perc_gdp","Forest_area_perc_landarea","Health_expend_perc_gdp"
"Spain","NE1099","IC_2.1_1098","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","San vicente del raspeig","Site","2014","Year",2014,2014,2014,2014,"One-time",419.84,NA,NA,577.509359610793,656.302064245413,419.84,577.509359610793,656.302064245413,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",577.509359610793,5.77509359610793e-07,0.000577509359610793,47076781,505935,93.05,1.39e+12,5,1918,6.35872464938287,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE11","IC_2.1_11","TC","SP_10","Respuesta a la solicitud de información de elena angulo para el proyecto sobre los costes de las invasiones biológicas INVACOST","Manuel Alcántara de la Fuente- Jefe de Servicio de Biodiversidad- Gobierno de Aragón- Dirección General de Medio Natural y Gestión Forestal- Comunidad Autónoma de Aragón- Spain",NA,2020,"Spanish","Unpublished material",NA,"Yes","Animalia","Mollusca","Bivalvia","Venerida","Cyrenidae","Corbicula","Corbicula fluminea",NA,"Asian basquet clam","Aquatic","Aquatic",NA,NA,"other",NA,"N","Europe","Aragon","Aragon","Site","2018","Year",2018,2018,2018,2018,"One-time",3000,NA,NA,3458.38948549631,4520.26180054813,3000,3458.38948549631,4520.26180054813,"EUR",2018,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","The report is a response to our request for data on the costs on invasive species in Aragón, CCAA.","Elena Angulo/Liliana Ballesteros-Mejia","Yes",3458.38948549631,3.45838948549631e-06,0.00345838948549631,47076781,505935,93.05,1.39e+12,5,1918,8.14855829306899,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1100","IC_2.1_1099","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Santa Pola","Site","2014","Year",2014,2014,2014,2014,"One-time",256,NA,NA,352.139853421215,400.184185515496,256,352.139853421215,400.184185515496,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",352.139853421215,3.52139853421215e-07,0.000352139853421215,47076781,505935,93.05,1.39e+12,5,1918,5.86402840754676,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1101","IC_2.1_1100","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Tibi","Site","2014","Year",2014,2014,2014,2014,"One-time",332.8,NA,NA,457.78180944758,520.239441170144,332.8,457.78180944758,520.239441170144,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",457.78180944758,4.5778180944758e-07,0.00045778180944758,47076781,505935,93.05,1.39e+12,5,1918,6.12639267201425,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1102","IC_2.1_1101","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Kalanchoe","Kalanchoe daigremontiana",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Peniscola","Site","2014","Year",2014,2014,2014,2014,"One-time",1024,NA,NA,1408.55941368486,1600.73674206198,1024,1408.55941368486,1600.73674206198,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",1408.55941368486,1.40855941368486e-06,0.00140855941368486,47076781,505935,93.05,1.39e+12,5,1918,7.25032276866665,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1103","IC_2.1_1102","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","Lantana","Lantana camara",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Alicante","Site","2014","Year",2014,2014,2014,2014,"One-time",512,NA,NA,704.27970684243,800.368371030991,512,704.27970684243,800.368371030991,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",704.27970684243,7.0427970684243e-07,0.00070427970684243,47076781,505935,93.05,1.39e+12,5,1918,6.55717558810671,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1104","IC_2.1_1103","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Leucaena","Leucaena leucocephala",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Alcasser","Site","2014","Year",2014,2014,2014,2014,"One-time",153.6,NA,NA,211.283912052729,240.110511309297,153.6,211.283912052729,240.110511309297,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",211.283912052729,2.11283912052729e-07,0.000211283912052729,47076781,505935,93.05,1.39e+12,5,1918,5.35320278378077,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1105","IC_2.1_1104","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Leucaena","Leucaena leucocephala",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Alicante","Site","2014","Year",2014,2014,2014,2014,"One-time",512,NA,NA,704.27970684243,800.368371030991,512,704.27970684243,800.368371030991,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",704.27970684243,7.0427970684243e-07,0.00070427970684243,47076781,505935,93.05,1.39e+12,5,1918,6.55717558810671,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1106","IC_2.1_1105","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Leucaena","Leucaena leucocephala",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Betera","Site","2014","Year",2014,2014,2014,2014,"One-time",153.6,NA,NA,211.283912052729,240.110511309297,153.6,211.283912052729,240.110511309297,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",211.283912052729,2.11283912052729e-07,0.000211283912052729,47076781,505935,93.05,1.39e+12,5,1918,5.35320278378077,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1107","IC_2.1_1106","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Leucaena","Leucaena leucocephala",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Massamagrell","Site","2014","Year",2014,2014,2014,2014,"One-time",153.6,NA,NA,211.283912052729,240.110511309297,153.6,211.283912052729,240.110511309297,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",211.283912052729,2.11283912052729e-07,0.000211283912052729,47076781,505935,93.05,1.39e+12,5,1918,5.35320278378077,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1391","IC_2.1_1384","TC","SP_25","Actuaciones de control de especies invasoras. Memoria Anual 2011","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2012,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,"Cylindropuntia rosea","Terrestrial","Terrestrial","Wasteland",NA,"other","N","N","Europe","Valencia","El Campello","Site","2011","Year",2011,2011,2011,2011,"One-time",972.8,NA,NA,1475.57661549416,1484.43033275337,972.8,1475.57661549416,1484.43033275337,"EUR",2011,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Pg.7-8","Virginia G. Duboscq-Carra/Elena Angulo","Yes",1475.57661549416,1.47557661549416e-06,0.00147557661549416,47076781,505935,93.05,1.39e+12,5,1918,7.29680411814111,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1392","IC_2.1_1385","TC","SP_25","Actuaciones de control de especies invasoras. Memoria Anual 2011","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2012,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,"Cylindropuntia rosea","Terrestrial","Terrestrial","Wasteland",NA,"other","N","N","Europe","Valencia","Estivella","Site","2011","Year",2011,2011,2011,2011,"One-time",622.08,NA,NA,943.592414644951,949.254133839658,622.08,943.592414644951,949.254133839658,"EUR",2011,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Pg.7-8","Virginia G. Duboscq-Carra/Elena Angulo","Yes",943.592414644951,9.43592414644951e-07,0.000943592414644951,47076781,505935,93.05,1.39e+12,5,1918,6.84969430876122,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1393","IC_2.1_1386","TC","SP_25","Actuaciones de control de especies invasoras. Memoria Anual 2011","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2012,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,"Cylindropuntia rosea","Terrestrial","Terrestrial","Wasteland",NA,"other","N","N","Europe","Valencia","Godella","Site","2011","Year",2011,2011,2011,2011,"One-time",4354.56,NA,NA,6605.14690251466,6644.77893687761,4354.56,6605.14690251466,6644.77893687761,"EUR",2011,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Pg.7-8","Virginia G. Duboscq-Carra/Elena Angulo","Yes",6605.14690251466,6.60514690251466e-06,0.00660514690251466,47076781,505935,93.05,1.39e+12,5,1918,8.79560445781654,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1110","IC_2.1_1109","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Leucaena","Leucaena leucocephala",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Ribarroja de Turia","Site","2014","Year",2014,2014,2014,2014,"One-time",51.2,NA,NA,70.427970684243,80.0368371030991,51.2,70.427970684243,80.0368371030991,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",70.427970684243,7.0427970684243e-08,7.0427970684243e-05,47076781,505935,93.05,1.39e+12,5,1918,4.25459049511266,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1395","IC_2.1_1388","TC","SP_25","Actuaciones de control de especies invasoras. Memoria Anual 2011","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2012,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,"Cylindropuntia rosea","Terrestrial","Terrestrial","Wasteland",NA,"other","N","N","Europe","Valencia","Lliria","Site","2011","Year",2011,2011,2011,2011,"One-time",478.72,NA,NA,726.13901867739,730.495979539161,478.72,726.13901867739,730.495979539161,"EUR",2011,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Pg.7-8","Virginia G. Duboscq-Carra/Elena Angulo","Yes",726.13901867739,7.2613901867739e-07,0.00072613901867739,47076781,505935,93.05,1.39e+12,5,1918,6.58774148227526,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1396","IC_2.1_1389","TC","SP_25","Actuaciones de control de especies invasoras. Memoria Anual 2011","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2012,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Cylindropuntia","Cylindropuntia rosea",NA,"Cylindropuntia rosea","Terrestrial","Terrestrial","Wasteland",NA,"other","N","N","Europe","Valencia","Montserrat","Site","2011","Year",2011,2011,2011,2011,"One-time",34.56,NA,NA,52.4218008136084,52.7363407688699,34.56,52.4218008136084,52.7363407688699,"EUR",2011,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Pg.7-8","Virginia G. Duboscq-Carra/Elena Angulo","Yes",52.4218008136084,5.24218008136084e-08,5.24218008136084e-05,47076781,505935,93.05,1.39e+12,5,1918,3.95932255086506,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1113","IC_2.1_1112","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia stricta",NA,"Common prickly pear","Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Betera","Site","2014","Year",2014,2014,2014,2014,"One-time",256,NA,NA,352.139853421215,400.184185515496,256,352.139853421215,400.184185515496,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",352.139853421215,3.52139853421215e-07,0.000352139853421215,47076781,505935,93.05,1.39e+12,5,1918,5.86402840754676,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1114","IC_2.1_1113","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Parkinsonia","Parkinsonia aculeata",NA,NA,"Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","El Campello","Site","2014","Year",2014,2014,2014,2014,"One-time",512,NA,NA,704.27970684243,800.368371030991,512,704.27970684243,800.368371030991,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios","Liliana Ballesteros-Mejia/Elena Angulo","Yes",704.27970684243,7.0427970684243e-07,0.00070427970684243,47076781,505935,93.05,1.39e+12,5,1918,6.55717558810671,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1115","IC_2.1_1114","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus",NA,"Fountaingrass","Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Castellon de la Plana","Site","2014","Year",2014,2014,2014,2014,"One-time",1075.2,NA,NA,1478.9873843691,1680.77357916508,1075.2,1478.9873843691,1680.77357916508,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios. Original species name is a synonym. Name in the document = Pennisetum setaceum","Liliana Ballesteros-Mejia/Elena Angulo","Yes",1478.9873843691,1.4789873843691e-06,0.0014789873843691,47076781,505935,93.05,1.39e+12,5,1918,7.29911293283608,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1116","IC_2.1_1115","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus",NA,"Fountaingrass","Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Foyos","Site","2014","Year",2014,2014,2014,2014,"One-time",51.2,NA,NA,70.427970684243,80.0368371030991,51.2,70.427970684243,80.0368371030991,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios.Original species name is a synonym. Name in the document = Pennisetum setaceum","Liliana Ballesteros-Mejia/Elena Angulo","Yes",70.427970684243,7.0427970684243e-08,7.0427970684243e-05,47076781,505935,93.05,1.39e+12,5,1918,4.25459049511266,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1117","IC_2.1_1116","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus",NA,"Fountaingrass","Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Peniscola","Site","2014","Year",2014,2014,2014,2014,"One-time",2252.8,NA,NA,3098.83071010669,3521.62083253636,2252.8,3098.83071010669,3521.62083253636,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios.Original species name is a synonym. Name in the document = Pennisetum setaceum","Liliana Ballesteros-Mejia/Elena Angulo","Yes",3098.83071010669,3.09883071010669e-06,0.00309883071010669,47076781,505935,93.05,1.39e+12,5,1918,8.03878012903092,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1118","IC_2.1_1117","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus",NA,"Fountaingrass","Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Sagunto","Site","2014","Year",2014,2014,2014,2014,"One-time",512,NA,NA,704.27970684243,800.368371030991,512,704.27970684243,800.368371030991,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios.Original species name is a synonym. Name in the document = Pennisetum setaceum","Liliana Ballesteros-Mejia/Elena Angulo","Yes",704.27970684243,7.0427970684243e-07,0.00070427970684243,47076781,505935,93.05,1.39e+12,5,1918,6.55717558810671,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1119","IC_2.1_1118","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus",NA,"Fountaingrass","Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Alfas del Pi","Site","2014","Year",2014,2014,2014,2014,"One-time",512,NA,NA,704.27970684243,800.368371030991,512,704.27970684243,800.368371030991,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios. Original species name is a synonym. Name in the document = Pennisetum setaceum","Liliana Ballesteros-Mejia/Elena Angulo","Yes",704.27970684243,7.0427970684243e-07,0.00070427970684243,47076781,505935,93.05,1.39e+12,5,1918,6.55717558810671,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE112","IC_2.1_112","TC","SP_19","ACTUACIONES REALIZADAS EN EL PRINCIPADO DE ASTURIAS PARA EL ESTUDIO, CONTROL Y ERRADICACIÓN DE ESPECIES INVASORAS. AÑOS 2008-2019","Teresa Sánchez Corominas- Dirección General de Medio Natural- Consejería de Desarrollo Rural- Agroganadería y Pesca del Principado de Asturias",NA,2020,"Spanish","Unpublished material",NA,"Yes","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor",NA,"Raccoon","Terrestrial","Terrestrial",NA,NA,"other",NA,"N","Europe","Asturias","Gozón/ Asturias","Site","2018","Year",2018,2018,2018,2018,"One-time",1793.58,NA,NA,2067.63273779882,2702.4837200757,1793.58,2067.63273779882,2702.4837200757,"EUR",2018,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control/Monitoring","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Situación poblacional y extracción de mapache en el concejo de Gozón","Elena Angulo/Liliana Ballesteros-Mejia","Yes",2067.63273779882,2.06763273779882e-06,0.00206763273779882,47076781,505935,93.05,1.39e+12,5,1918,7.63415962691622,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1120","IC_2.1_1119","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus",NA,"Fountaingrass","Terrestrial","Terrestrial","Uncultivated fields",NA,"other",NA,"N","Europe","Valencia","Alicante","Site","2014","Year",2014,2014,2014,2014,"One-time",2048,NA,NA,2817.11882736972,3201.47348412396,2048,2817.11882736972,3201.47348412396,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Baldios. Original species name is a synonym. Name in the document = Pennisetum setaceum","Liliana Ballesteros-Mejia/Elena Angulo","Yes",2817.11882736972,2.81711882736972e-06,0.00281711882736972,47076781,505935,93.05,1.39e+12,5,1918,7.9434699492266,2.6,20.1,11,67.9,0,37.2,9.1
"Spain","NE1004","IC_2.1_1003","TC","SP_29","Actuaciones de control de especies invasoras. Memoria Anual 2014","Generalitat Valenciana- Consellería d'Infraestructures- Territori i Medi Ambient- Dirección General el Medio Natural",NA,2015,"Spanish","Official report",NA,"Yes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus setaceus",NA,"Fountaingrass","Terrestrial","Terrestrial","Marine and continental cliffs",NA,"other",NA,"N","Europe","Valencia","Benissa","Site","2014","Year",2014,2014,2014,2014,"One-time",128,NA,NA,176.069926710608,200.092092757748,128,176.069926710608,200.092092757748,"EUR",2014,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Acantilados, marinos y continentales. Original species name is a synonym. Name in the document = Pennisetum setaceum","Liliana Ballesteros-Mejia/Elena Angulo","Yes",176.069926710608,1.76069926710608e-07,0.000176069926710608,47076781,505935,93.05,1.39e+12,5,1918,5.17088122698682,2.6,20.1,11,67.9,0,37.2,9.1
