Location,Taxon,ScientificName
Austria,Agaricus bernardii,Agaricus bernardii Quél.
Austria,Agaricus bisporus,Agaricus bisporus (J.E.Lange) Imbach
Austria,Ageniaspis fuscicollis,"Ageniaspis fuscicollis (Dalman, 1820)"
Austria,Ageratina altissima,Ageratina altissima (L.) R.King & H.Rob.
Austria,Ageratum houstonianum,Ageratum houstonianum Mill.
Austria,Agropyron desertorum,Agropyron desertorum (Fisch. ex Link) Schult.
Austria,Agrostis hyemalis,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb."
Austria,Agrostis scabra,Agrostis scabra Willd.
Austria,Ahasverus advena,"Ahasverus advena (Walt, 1832)"
Austria,Ailanthus altissima,Ailanthus altissima (Mill.) Swingle
Austria,Airaphilus nasutus,"Airaphilus nasutus Chevrolat, 1860"
Austria,Aix galericulata,"Aix galericulata (Linnaeus, 1758)"
Austria,Aix sponsa,"Aix sponsa (Linnaeus, 1758)"
Austria,Alcea rosea,Alcea rosea L.
Austria,Alchemilla mollis,Alchemilla mollis (Buser) Rothm.
Austria,Alchemilla speciosa,Alchemilla speciosa Buser
Austria,Alectoris chukar,"Alectoris chukar (J.E.Gray, 1830)"
Austria,Alectoris rufa,"Alectoris rufa (Linnaeus, 1758)"
Austria,Aleochara puberula,"Aleochara puberula Klug, 1833"
Austria,Allium ampeloprasum,Allium ampeloprasum L.
Austria,Allium cepa,Allium cepa L.
Austria,Allium cepa var. ascalonicum,
Austria,Allium christophii,Allium christophii Trautv.
Austria,Allium nigrum,Allium nigrum L.
Austria,Allium paradoxum,Allium paradoxum (M.Bieb.) G.Don
Austria,Allium porrum,
Austria,Allium sativum,Allium sativum L.
Austria,Allium schoenoprasum,Allium schoenoprasum L.
Austria,Allopeas clavulinum,"Allopeas clavulinum (Potiez & Michaud, 1838)"
Austria,Alnus cordata,Alnus cordata (Loisel.) Duby
Austria,Alocentron curvirostre,"Alocentron curvirostre (Gyllenhal, 1833)"
Austria,Alopecurus rendlei,Alopecurus rendlei Eig
Austria,Alopochen aegyptiaca,"Alopochen aegyptiaca (Linnaeus, 1766)"
Austria,Alphitobius diaperinus,"Alphitobius diaperinus (Panzer, 1797)"
Austria,Alphitophagus bifasciatus,"Alphitophagus bifasciatus (Say, 1824)"
Austria,Alyssum murale,
Austria,Amaranthus albus,Amaranthus albus L.
Austria,Amaranthus blitoides,Amaranthus blitoides S.Watson
Austria,Amaranthus blitum,Amaranthus blitum L.
Austria,Amaranthus blitum blitum x emarginatus,
Austria,Amaranthus blitum emarginatus,Amaranthus blitum var. emarginatus (Moq. ex Uline & Bray) Costea
Austria,Amaranthus bouchonii,Amaranthus bouchonii Thell.
Austria,Amaranthus cruentus,Amaranthus cruentus L.
Austria,Amaranthus hybridus,Amaranthus hybridus L.
Austria,Amaranthus hypochondriacus,Amaranthus hypochondriacus L.
Austria,Amaranthus powelli subsp. bouchonii,
Austria,Amaranthus powellii,Amaranthus powellii S.Watson
Austria,Amaranthus powellii x retroflexus,Amaranthus powellii x retroflexus
Austria,Amaranthus quitensis,Amaranthus quitensis Kunth
Austria,Amaranthus retroflexus,Amaranthus retroflexus L.
Austria,Ambigolimax nyctelius,"Ambigolimax nyctelius (Bourguignat, 1861)"
Austria,Ambigolimax valentianus,"Ambigolimax valentianus (A.Férussac, 1821)"
Austria,Ambrosia artemisiifolia,Ambrosia artemisiifolia L.
Austria,Ambrosia trifida,Ambrosia trifida L.
Austria,Ameiurus melas,"Ameiurus melas (Rafinesque, 1820)"
Austria,Ameiurus nebulosus,"Ameiurus nebulosus (Lesueur, 1819)"
Austria,Ammi majus,Ammi majus L.
Austria,Ammi visnaga,"Ammi visnaga Linnaeus, 1753"
Austria,Amorpha fruticosa,Amorpha fruticosa L.
Austria,Amphiareus obscuriceps,"Amphiareus obscuriceps (Poppius, 1909)"
Austria,Amphitomeus attemsi,"Amphitomeus attemsi (Schubart, 1934)"
Austria,Amsinckia calycina,Amsinckia calycina (Moris) Chater
Austria,Anaphalis margaritacea,Anaphalis margaritacea (L.) Benth.
Austria,Anemone apennina,Anemone apennina L.
Austria,Anemone blanda,Anemone blanda Schott & Kotschy
Austria,Anethum graveolens,Anethum graveolens L.
Austria,Angelica archangelica,Angelica archangelica L.
Austria,Anguillicola crassus,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974"
Austria,Anommatus diecki,"Anommatus diecki Reitter, 1875"
Austria,Anoplophora chinensis,"Anoplophora chinensis (Forster, 1771)"
Austria,Anoplophora glabripennis,"Anoplophora glabripennis (Motschulsky, 1854)"
Austria,Anser anser,"Anser anser (Linnaeus, 1758)"
Austria,Anthemis altissima,
Austria,Antheraea yamamai,"Antheraea yamamai (Guerin-Meneville, 1861)"
Austria,Anthocoris butleri,"Anthocoris butleri Le Quesne, 1954"
Austria,Anthrenocerus australis,"Anthrenocerus australis (Hope, 1843)"
Austria,Anthrenus caucasicus,"Anthrenus caucasicus Reitter, 1881"
Austria,Anthrenus coloratus,"Anthrenus coloratus Reitter, 1881"
Austria,Anthrenus festivus,"Anthrenus festivus Erichson, 1846"
Austria,Anthrenus olgae,"Anthrenus olgae Kalik, 1946"
Austria,Anthriscus cerefolium,Anthriscus cerefolium (L.) Hoffm.
Austria,Anthriscus cerefolium cerefolium,Anthriscus cerefolium var. cerefolium
Austria,Antirrhinum majus,Antirrhinum majus L.
Austria,Aonidia lauri,"Aonidia lauri (Bouche, 1833)"
Austria,Aphaenogaster gibbosa,"Aphaenogaster gibbosa (Latreille, 1798)"
Austria,Aphanomyces astaci,Aphanomyces astaci Schikora
Austria,Aphelinus mali,"Aphelinus mali (Haldeman, 1851)"
Austria,Aphidius colemani,"Aphidius colemani Viereck, 1912"
Austria,Aphis craccivora,"Aphis craccivora C.L.Koch, 1854"
Austria,Aphis forbesi,"Aphis forbesi Weed, 1889"
Austria,Aphis gossypii,"Aphis gossypii Glover, 1877"
Austria,Aphis spiraecola,"Aphis spiraecola Patch, 1914"
Austria,Aphis spiraephaga,Aphis spiraephaga
Austria,Apiognomonia veneta,Apiognomonia veneta (Sacc. & Speg.) Höhn.
Austria,Apium graveolens,Apium graveolens L.
Austria,Apium graveolens subsp. rapaceum,
Austria,Apomyelois ceratoniae,"Apomyelois ceratoniae (Zeller, 1839)"
Austria,Aproceros leucopoda,"Aproceros leucopoda Takeuchi, 1939"
Austria,Aquilegia flavescens,Aquilegia flavescens S.Watson
Austria,Arabis caucasica,Arabis caucasica Willd.
Austria,Arabis procurrens,Arabis procurrens Waldst. & Kit.
Austria,Arachnocephalus vestitus,"Arachnocephalus vestitus O.G.Costa, 1855"
Austria,Araecerus fasciculatus,"Araecerus fasciculatus (C.DeGeer, 1775)"
Austria,Aralia spinosa,Aralia spinosa L.
Austria,Argyresthia thuiella,"Argyresthia thuiella (Packard, 1871)"
Austria,Argyresthia trifasciata,"Argyresthia trifasciata Staudinger, 1871"
Austria,Arion distinctus,"Arion distinctus Mabille, 1868"
Austria,Arion flagellus,"Arion flagellus Collinge, 1893"
Austria,Arion hortensis,"Arion hortensis A.Férussac, 1819"
Austria,Arion lusitanicus,"Arion lusitanicus J.Mabille, 1868"
Austria,Arion vulgaris,"Arion vulgaris Moquin-Tandon, 1855"
Austria,Armadillidium nasatum,"Armadillidium nasatum Budde-Lund, 1885"
Austria,Armoracia rusticana,"Armoracia rusticana P.Gaertn., B.Mey. & Scherb."
Austria,Arnica chamissonis,Arnica chamissonis Less.
Austria,Arocatus longiceps,"Arocatus longiceps C.Stal, 1872"
Austria,Artemisia abrotanum,Artemisia abrotanum L.
Austria,Artemisia annua,Artemisia annua L.
Austria,Artemisia biennis,Artemisia biennis Willd.
Austria,Artemisia dracunculus,Artemisia dracunculus L.
Austria,Artemisia verlotiorum,Artemisia verlotiorum Lamotte
Austria,Asclepias syriaca,Asclepias syriaca L.
Austria,Asparagus officinalis,Asparagus officinalis L.
Austria,Asphodelus fistulosus,Asphodelus fistulosus L.
Austria,Aspidapion validum,"Aspidapion validum (Germar, 1817)"
Austria,Aspidiotus nerii,"Aspidiotus nerii Bouche, 1833"
Austria,Asplenium ceterach,Asplenium ceterach L.
Austria,Aster laevis,
Austria,Aster laevis var. concinnus,
Austria,Aster lanceolatus,
Austria,Aster pilosus,
Austria,Aster salignus,Aster salignus L.
Austria,Aster sibiricus,"Aster sibiricus Lam., 1783"
Austria,Aster versicolor,"Aster versicolor hort. ex Steud., 1840"
Austria,Astilbe rubra,Astilbe rubra Hook. & Thomson
Austria,Atomaria lewisi,"Atomaria lewisi Reitter, 1877"
Austria,Atriplex hortensis,Atriplex hortensis L.
Austria,Atriplex micrantha,Atriplex micrantha Ledeb.
Austria,Attagenus unicolor,"Attagenus unicolor (Brahm, 1790)"
Austria,Atyaephyra desmarestii,"Atyaephyra desmarestii (Millet, 1831)"
Austria,Aucuba japonica,Aucuba japonica Thunb.
Austria,Avena barbata,Avena barbata Pott ex Link
Austria,Avena brevis,Avena brevis Roth
Austria,Avena fatua,Avena fatua L.
Austria,Avena sativa,Avena sativa L.
Austria,Avena sterilis,Avena sterilis L.
Austria,Avena strigosa,Avena strigosa Schreb.
Austria,Babka gymnotrachelus,"Babka gymnotrachelus (Kessler, 1857)"
Austria,Baeocrara japonica,"Baeocrara japonica (A.Matthews, 1884)"
Austria,Barbarea intermedia,Barbarea intermedia Boreau
Austria,Barbarea verna,Barbarea verna (Mill.) Asch.
Austria,Barbronia weberi,"Barbronia weberi (Blanchard, 1897)"
Austria,Barbus plebejus,"Barbus plebejus Bonaparte, 1839"
Austria,Basidiophora entospora,Basidiophora entospora Roze & Cornu
Austria,Bassia hyssopifolia,Bassia hyssopifolia (Pall.) Kuntze
Austria,Bassia scoparia,Bassia scoparia (L.) A.J.Scott
Austria,Bassia scoparia densiflora,Bassia scoparia subsp. densiflora (Turcz. ex Aellen) Cirujano & Velayos
Austria,Bassia scoparia scoparia,Bassia scoparia subsp. scoparia
Austria,Belonochilus numenius,"Belonochilus numenius (Say & T., 1831)"
Austria,Bemisia tabaci,"Bemisia tabaci (Gennadius, 1889)"
Austria,Berberentulus berberus,"Berberentulus berberus (Condé, 1948)"
Austria,Berginus tamarisci,"Berginus tamarisci Wollaston, 1854"
Austria,Berteroa mutabilis,Berteroa mutabilis (Vent.) DC.
Austria,Beta maritima,Beta maritima L.
Austria,Beta vulgaris,Beta vulgaris L.
Austria,Bidens ferulifolia,"Bidens ferulifolia Hemsl., 1881"
Austria,Bidens frondosa,Bidens frondosa L.
Austria,Bidens frondosa var. anomala Porter ex Fernald,
Austria,Bifora radians,Bifora radians M.Bieb.
Austria,Bisnius parcus,"Bisnius parcus (Sharp, 1874)"
Austria,Blaps gigas,"Blaps gigas (Linnaeus, 1767)"
Austria,Blatta orientalis,"Blatta orientalis Linnaeus, 1758"
Austria,Boettgerilla pallens,"Boettgerilla pallens Simroth, 1912"
Austria,Bohemiellina flavipennis,"Bohemiellina flavipennis (Cameron, 1920)"
Austria,Bolbitius coprophilus,Bolbitius coprophilus (Peck) Hongo
Austria,Borago officinalis,Borago officinalis L.
Austria,Bostrichus carpophagus,"Bostrichus carpophagus Hornung, 1842"
Austria,Bostrichus duplicatus,"Bostrichus duplicatus C.R.Sahlberg, 1836"
Austria,Bostrichus jalappae,"Bostrichus jalappae Letzner, 1849"
Austria,Bostrychoplites cornutus,"Bostrychoplites cornutus (Olivier, 1790)"
Austria,Bothriocephalus claviceps,"Bothriocephalus claviceps (Goeze, 1782) Rudolphi, 1810"
Austria,Brachypterolus vestitus,"Brachypterolus vestitus (Kiesenwetter, 1850)"
Austria,Branchiura sowerbyi,"Branchiura sowerbyi Beddard, 1892"
Austria,Branta canadensis,"Branta canadensis (Linnaeus, 1758)"
Austria,Branta hutchinsii,"Branta hutchinsii (Richardson, 1832)"
Austria,Branta leucopsis,"Branta leucopsis (Bechstein, 1803)"
Austria,Brassica elongata integrifolia,Brassica elongata subsp. integrifolia (Boiss.) Breistr.
Austria,Brassica juncea,Brassica juncea (L.) Czern.
Austria,Brassica nigra,Brassica nigra (L.) W.D.J.Koch
Austria,Brassica oleracea,Brassica oleracea L.
Austria,Brassica rapa,Brassica rapa L.
Austria,Brigittea civica,"Brigittea civica (Lucas, 1850)"
Austria,Brimeura amethystina,Brimeura amethystina (L.) Chouard
Austria,Briza minor,Briza minor L.
Austria,Bromus briziformis,Bromus briziformis Fisch. & C.A.Mey.
Austria,Bromus hordeaceus subsp. pseudothominii,
Austria,Bromus rigidus,Bromus rigidus Roth
Austria,Bromus secalinus,Bromus secalinus L.
Austria,Bromus secalinus subsp. decipiens,
Austria,Broussonetia papyrifera,Broussonetia papyrifera (L.) Vent.
Austria,Bruchus ervi,"Bruchus ervi Frölich, 1799"
Austria,Bruchus lentis,"Bruchus lentis Frölich, 1799"
Austria,Bruchus pisorum,"Bruchus pisorum Linnaeus, 1758"
Austria,Bruchus rufimanus,"Bruchus rufimanus Boheman, 1833"
Austria,Bruchus signaticornis,"Bruchus signaticornis Gyllenhal, 1833"
Austria,Brunnera macrophylla,Brunnera macrophylla (Adams) I.M.Johnst.
Austria,Buddleja davidii,Buddleja davidii Franch.
Austria,Bunias erucago,Bunias erucago L.
Austria,Bunias orientalis,Bunias orientalis L.
Austria,Bunium bulbocastanum,Bunium bulbocastanum L.
Austria,Bupleurum fontanesii,Bupleurum fontanesii Caruel
Austria,Burmoniscus orientalis,"Burmoniscus orientalis Green, Ferrara & Taiti, 1990"
Austria,Buthus occitanus,"Buthus occitanus (Amoreux, 1789)"
Austria,Buxus sempervirens,Buxus sempervirens L.
Austria,Cabomba caroliniana,Cabomba caroliniana A.Gray
Austria,Cadra calidella,"Cadra calidella (Guenee, 1845)"
Austria,Cadra cautella,"Cadra cautella (Walker, 1863)"
Austria,Cadra figulilella,"Cadra figulilella (Gregson, 1871)"
Austria,Cairina moschata,"Cairina moschata (Linnaeus, 1758)"
Austria,Calendula officinalis,Calendula officinalis L.
Austria,Calepina irregularis,Calepina irregularis (Asso) Thell.
Austria,Callidium chlorizans,"Callidium chlorizans (Solsky, 1870)"
Austria,Callosobruchus chinensis,"Callosobruchus chinensis (Linnaeus, 1758)"
Austria,Calocedrus decurrens,Calocedrus decurrens (Torr.) Florin
Austria,Calystegia silvatica,Calystegia silvatica (Kit.) Griseb.
Austria,Camelina alyssum,Camelina alyssum (Mill.) Thell.
Austria,Camelina rumelica,Camelina rumelica Velen.
Austria,Camelina sativa,Camelina sativa (L.) Crantz
Austria,Camelina sativa var. zingeri Z.Mirek,
Austria,Cameraria ohridella,"Cameraria ohridella Deschka & Dimic, 1986"
Austria,Campanula portenschlagiana,Campanula portenschlagiana Schult.
Austria,Campanula poscharskyana,Campanula poscharskyana Degen
Austria,Campanula rhomboidalis,Campanula rhomboidalis L.
Austria,Campodea lubbockii,"Campodea lubbockii Silvestri, 1912"
Austria,Campodea quilisi,"Campodea quilisi Silvestri, 1932"
Austria,Campodea rhopalota,"Campodea rhopalota Denis, 1930"
Austria,Campylaea planospira,"Campylaea planospira (Lamarck, 1822)"
Austria,Campylopus introflexus,"Campylopus introflexus Bridel, 1819"
Austria,Cantareus apertus,"Cantareus apertus (Born, 1778)"
Austria,Capra ibex,"Capra ibex Linnaeus, 1758"
Austria,Caracollina lenticula,"Caracollina lenticula (Michaud, 1831)"
Austria,Caragana arborescens,Caragana arborescens Lam.
Austria,Caragana halodendron,Caragana halodendron (Pall.) Dum.Cours.
Austria,Carassius auratus,"Carassius auratus (Linnaeus, 1758)"
Austria,Carcinops pumilio,"Carcinops pumilio (Erichson, 1834)"
Austria,Cardamine glanduligera,Cardamine glanduligera O.Schwarz
Austria,Carduus hamulosus,Carduus hamulosus Ehrh.
Austria,Carex bebbii,Carex bebbii (L.H.Bailey) Olney ex Fernald
Austria,Carex vulpinoidea,Carex vulpinoidea Michx.
Austria,Carniella brignolii,"Carniella brignolii Thaler & Steinberger, 1988"
Austria,Carpelimus zealandicus,"Carpelimus zealandicus (Sharp, 1900)"
Austria,Carphoborus rossicus,"Carphoborus rossicus A.P.Semenov Tjan-Shansky, 1902"
Austria,Carpophilus dimidiatus,"Carpophilus dimidiatus (Fabricius, 1792)"
Austria,Carpophilus hemipterus,"Carpophilus hemipterus (Linnaeus, 1758)"
Austria,Carpophilus marginellus,"Carpophilus marginellus Motschulsky, 1858"
Austria,Carpophilus mutilatus,"Carpophilus mutilatus Erichson, 1843"
Austria,Carpophilus pilosellus,"Carpophilus pilosellus Motschulsky, 1858"
Austria,Carpophilus quadrisignatus,"Carpophilus quadrisignatus Erichson, 1843"
Austria,Carthamus tinctorius,Carthamus tinctorius L.
Austria,Cartodere bifasciata,"Cartodere bifasciata (Reitter, 1877)"
Austria,Cartodere nodifer,"Cartodere nodifer (Westwood, 1839)"
Austria,Caryopteris clandonensis,Caryopteris clandonensis A.Simmonds
Austria,Caspiobdella fadejewi,"Caspiobdella fadejewi Epshtein, 1961"
Austria,Castor canadensis,"Castor canadensis Kuhl, 1820"
Austria,Catogenus rufus,"Catogenus rufus (Fabricius, 1792)"
Austria,Celosia argentea,Celosia argentea L.
Austria,Celtis occidentalis,Celtis occidentalis L.
Austria,Cenchrus macrourus,Cenchrus macrourus (Trin.) Morrone
Austria,Centaurea calcitrapa,Centaurea calcitrapa L.
Austria,Centaurea dichroantha,Centaurea dichroantha A.Kern.
Austria,Centaurea diffusa x stoebe subsp. micranthos,
Austria,Centaurea diffusa x stoebe subsp. stoebe,
Austria,Centaurea diluta,Centaurea diluta Aiton
Austria,Centaurea nigra,Centaurea nigra L.
Austria,Centaurea rupestris,Centaurea rupestris L.
Austria,Centaurea ruthenica,
Austria,Centaurea scabiosa,Centaurea scabiosa L.
Austria,Centaurea scabiosa spinulosa,Centaurea scabiosa subsp. spinulosa (Spreng.) Arcang.
Austria,Centaurea solstitialis,Centaurea solstitialis L.
Austria,Centranthus ruber,Centranthus ruber (L.) DC.
Austria,Centruroides gracilis,"Centruroides gracilis (Latreille, 1804)"
Austria,Cephalaria radiata,Cephalaria radiata Griseb. & Schenk
Austria,Cephalaria transsylvanica,Cephalaria transsylvanica (L.) Schrad. ex Roem. & Schult.
Austria,Cerastium biebersteinii,Cerastium biebersteinii DC.
Austria,Cerastium tomentosum,Cerastium tomentosum L.
Austria,Ceratitis capitata,"Ceratitis capitata (Wiedemann, 1824)"
Austria,Ceratocapnos claviculata claviculata,Ceratocapnos claviculata subsp. claviculata
Austria,Cercis siliquastrum,Cercis siliquastrum L.
Austria,Cercyon laminatus,"Cercyon laminatus Sharp, 1873"
Austria,Cernuella cisalpina,"Cernuella cisalpina (Rossmässler, 1837)"
Austria,Cernuella neglecta,"Cernuella neglecta (Draparnaud, 1805)"
Austria,Cernuella virgata,"Cernuella virgata (Da Costa, 1778)"
Austria,Cerobasis annulata,"Cerobasis annulata (Hagen, 1865)"
Austria,Cervus nippon,"Cervus nippon Temminck, 1838"
Austria,Cetonana laticeps,"Cetonana laticeps (Canestrini, 1868)"
Austria,Chaenomeles japonica,Chaenomeles japonica (Thunb.) Lindl. ex Spach
Austria,Chaenomeles japonica x speciosa,Chaenomeles japonica x speciosa
Austria,Chaenorhinum litorale,Chaenorhinum litorale (Bernh. ex Willd.) Fritsch
Austria,Chaetosiphon fragaefolii,"Chaetosiphon fragaefolii (T.D.A.Cockerell, 1901)"
Austria,Chamaecyparis pisifera,Chamaecyparis pisifera (Siebold & Zucc.) Endl.
Austria,Charpentieria itala,"Charpentieria itala (G.von Martens, 1824)"
Austria,Charpentieria itala braunii,"Charpentieria itala braunii (Rossmässler, 1836)"
Austria,Cheiracanthium mildei,"Cheiracanthium mildei L.Koch, 1864"
Austria,Chelicorophium curvispinum,"Chelicorophium curvispinum (G.O.Sars, 1895)"
Austria,Chenopodium album,Chenopodium album L.
Austria,Chenopodium album subsp. borbasii,
Austria,Chenopodium album subsp. densifolium Ludwig & Aellen,
Austria,Chenopodium ambrosioides,
Austria,Chenopodium berlandieri,Chenopodium berlandieri Moq.
Austria,Chenopodium berlandieri zschackei,Chenopodium berlandieri var. zschackei (Murr) Murr
Austria,Chenopodium betaceum,Chenopodium betaceum Andrz.
Austria,Chenopodium pratericola,Chenopodium pratericola Rydb.
Austria,Chenopodium probstii,Chenopodium probstii Aellen
Austria,Chenopodium striatiforme,Chenopodium striatiforme Murr
Austria,Chilostoma cingulatum,"Chilostoma cingulatum (S.Studer, 1820)"
Austria,Chilostoma cingulatum gobanzi,"Chilostoma cingulatum gobanzi (Frauenfeld, 1867)"
Austria,Chloeocharis debilicorins,
Austria,Chlorophorus annularis,"Chlorophorus annularis (Fabricius, 1787)"
Austria,Chorispora tenella,Chorispora tenella (Pall.) DC.
Austria,Chromaphis juglandicola,"Chromaphis juglandicola (Kaltenbach, 1843)"
Austria,Chrysanthemum zawadskii,Chrysanthemum zawadskii Herbich
Austria,Chrysodeixis acuta,"Chrysodeixis acuta (Walker, 1858)"
Austria,Chrysolophus pictus,"Chrysolophus pictus (Linnaeus, 1758)"
Austria,Chrysomya albiceps,"Chrysomya albiceps (Wiedemann, 1819)"
Austria,Chymomyza amoena,"Chymomyza amoena (Loew, 1862)"
Austria,Cichorium endivia,Cichorium endivia L.
Austria,Clambus simsoni,"Clambus simsoni Blackburn, 1902"
Austria,Clathrus archeri,Clathrus archeri (Berk.) Dring
Austria,Clathrus ruber,Clathrus ruber P.Micheli ex Pers.
Austria,Claytonia perfoliata,Claytonia perfoliata Donn.
Austria,Cnephasia pumicana,"Cnephasia pumicana (Zeller, 1847)"
Austria,Coccotrypes dactyliperda,"Coccotrypes dactyliperda (J.C.Fabricius, 1802)"
Austria,Coccus hesperidum,"Coccus hesperidum Linnaeus, 1758"
Austria,Coincya monensis cheiranthos,"Coincya monensis subsp. cheiranthos (Vill.) C.Aedo Pérez, Leadlay & Muñoz Garm."
Austria,Coix lacryma-jobi,Coix lacryma-jobi L.
Austria,Coleophora spiraeella,"Coleophora spiraeella Rebel, 1916"
Austria,Coleosoma floridanum,"Coleosoma floridanum Banks, 1900"
Austria,Coletinia maggii,"Coletinia maggii (Grassi, 1887)"
Austria,Columba livia,"Columba livia J.F.Gmelin, 1789"
Austria,Commelina tuberosa,Commelina tuberosa L.
Austria,Conocybe crispella,Conocybe crispella (Murrill) Singer
Austria,Conringia orientalis,Conringia orientalis (L.) Dumort.
Austria,Consolida regalis subsp. paniculata,
Austria,Contarinia pisi,"Contarinia pisi (Winnertz, 1854)"
Austria,Contarinia quinquenotata,"Contarinia quinquenotata (Löw, 1888)"
Austria,Corbicula fluminea,"Corbicula fluminea (O.F.Müller, 1774)"
Austria,Corcyra cephalonica,"Corcyra cephalonica (Stainton, 1866)"
Austria,Cordylophora caspia,"Cordylophora caspia (Pallas, 1771)"
Austria,Coriandrum sativum,Coriandrum sativum L.
Austria,Corispermum intermedium,Corispermum intermedium Schweigg.
Austria,Corispermum pallasii,Corispermum pallasii Stev.
Austria,Cornu aspersum,"Cornu aspersum (O.F.Müller, 1774)"
Austria,Cornus alba,Cornus alba L.
Austria,Cornus sanguinea,Cornus sanguinea L.
Austria,Cornus sanguinea australis,Cornus sanguinea subsp. australis (C.A.Mey.) Jáv.
Austria,Corticaria elongata,"Corticaria elongata (Gyllenhal, 1827)"
Austria,Corticaria fenestralis,"Corticaria fenestralis (Linnaeus, 1758)"
Austria,Corticaria fulva,"Corticaria fulva (Comolli, 1837)"
Austria,Corticaria pubescens,"Corticaria pubescens (Gyllenhal, 1827)"
Austria,Corticaria serrata,"Corticaria serrata (Paykull, 1798)"
Austria,Corylus maxima,Corylus maxima Mill.
Austria,Corythucha ciliata,"Corythucha ciliata (Say, 1832)"
Austria,Cotoneaster dammeri x conspicuus,
Austria,Cotoneaster dielsianus,Cotoneaster dielsianus E.Pritz.
Austria,Cotoneaster divaricatus,Cotoneaster divaricatus Rehder & E.H.Wilson
Austria,Cotoneaster horizontalis,Cotoneaster horizontalis Decne.
Austria,Cotoneaster watereri,Cotoneaster ×watereri Exell
Austria,Craspedacusta sowerbii,"Craspedacusta sowerbii Lankester, 1880"
Austria,Crematogaster scutellaris,"Crematogaster scutellaris (Olivier, 1792)"
Austria,Crepis pygmaea,Crepis pygmaea L.
Austria,Crepis vesicaria taraxacifolia,Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell.
Austria,Crepis zacintha,Crepis zacintha (L.) Babc.
Austria,Crocus banaticus,Crocus banaticus J.Gay
